date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2020-04-26,Bagumbayan,29745.95,31096.01188545218,-1350.061885452178
2020-04-27,Bagumbayan,31821.56,34399.28688332098,-2577.7268833209782
2020-04-28,Bagumbayan,32926.95,32246.386846704994,680.5631532950028
2020-04-29,Bagumbayan,32317.48,33612.541133651146,-1295.0611336511465
2020-04-30,Bagumbayan,31017.26,30430.930654879496,586.3293451205027
2020-05-01,Bagumbayan,30276.69,28120.451434404462,2156.238565595537
2020-05-02,Bagumbayan,32436.03,30815.63871582169,1620.3912841783094
2020-05-03,Bagumbayan,29958.78,28717.133148744117,1241.6468512558822
2020-05-04,Bagumbayan,32198.07,29996.207899483747,2201.862100516253
2020-05-05,Bagumbayan,33338.98,32992.611439259344,346.3685607406587
2020-05-06,Bagumbayan,33094.71,31989.257635683167,1105.4523643168322
2020-05-07,Bagumbayan,32019.63,29508.598128570484,2511.031871429517
2020-05-08,Bagumbayan,33341.2,31843.16948921708,1498.0305107829154
2020-05-09,Bagumbayan,32081.5,30156.357731798795,1925.1422682012053
2020-05-10,Bagumbayan,31120.73,30622.205434785777,498.5245652142221
2020-05-11,Bagumbayan,32076.59,30175.24467522376,1901.345324776241
2020-05-12,Bagumbayan,33682.06,33092.8099046304,589.2500953695999
2020-05-13,Bagumbayan,35955.59,37100.650130473296,-1145.060130473299
2020-05-14,Bagumbayan,37217.49,35806.736195630234,1410.753804369764
2020-05-15,Bagumbayan,39257.09,38568.249238321965,688.8407616780314
2020-05-16,Bagumbayan,36623.98,36368.95280179928,255.02719820072525
2020-05-17,Bagumbayan,31669.54,31492.623303097538,176.91669690246272
2020-05-18,Bagumbayan,33033.12,34408.08139729963,-1374.9613972996303
2020-05-19,Bagumbayan,33158.48,33615.11221471786,-456.632214717858
2020-05-20,Bagumbayan,35237.16,36840.3952513201,-1603.2352513200967
2020-05-21,Bagumbayan,34722.33,35748.67422034775,-1026.3442203477462
2020-05-22,Bagumbayan,33467.17,33460.74505977967,6.424940220327699
2020-05-23,Bagumbayan,31330.32,29816.772451978883,1513.547548021117
2020-05-24,Bagumbayan,30057.78,28087.330828655766,1970.449171344233
2020-05-25,Bagumbayan,32075.79,30506.92379776247,1568.866202237532
2020-05-26,Bagumbayan,33682.29,31014.78136331382,2667.5086366861797
2020-05-27,Bagumbayan,34756.99,33727.560162028356,1029.429837971642
2020-05-28,Bagumbayan,33551.14,34161.95405203802,-610.8140520380184
2020-05-29,Bagumbayan,32611.65,33067.79570379366,-456.14570379365614
2020-05-30,Bagumbayan,33349.25,33253.247090284334,96.00290971566574
2020-05-31,Bagumbayan,31237.32,32872.73491520934,-1635.4149152093378
2020-06-01,Bagumbayan,34904.51,32079.849770978537,2824.660229021465
2020-06-02,Bagumbayan,36095.01,35592.59044882699,502.41955117301404
2020-06-03,Bagumbayan,35019.13,34897.718597001185,121.41140299881226
2020-06-04,Bagumbayan,34011.25,31736.84424694305,2274.4057530569517
2020-06-05,Bagumbayan,33588.91,32528.940171869264,1059.9698281307392
2020-06-06,Bagumbayan,31142.11,28147.26184232138,2994.8481576786216
2020-06-07,Bagumbayan,30619.46,30105.367214222795,514.092785777204
2020-06-08,Bagumbayan,32699.02,30956.419624967755,1742.6003750322452
2020-06-09,Bagumbayan,33534.12,35030.94776254918,-1496.8277625491755
2020-06-10,Bagumbayan,33146.71,33881.29379643813,-734.583796438128
2020-06-11,Bagumbayan,34799.9,33243.247919414425,1556.6520805855762
2020-06-12,Bagumbayan,32801.75,31877.982604272802,923.7673957271982
