model,old_r2,new_r2,change_r2,old_rmse_kwh,new_rmse_kwh,change_rmse_kwh,old_mae_kwh,new_mae_kwh,change_mae_kwh,old_mape_pct,new_mape_pct,change_mape_pct
Municipality MLR,0.990958670723458,0.9901929171989424,-0.0007657535245155778,5615.285822436441,4090.1291134135895,-1525.1567090228514,2867.5677359966444,2363.7481802712,-503.8195557254444,4.1286235125102095,3.797203326318773,-0.33142018619143654
Municipality SARIMA,0.9915873771923664,0.9893842538703052,-0.0022031233220612956,5416.533488604344,4255.419296839902,-1161.1141917644418,2859.645443410377,2506.435042173754,-353.21040123662306,3.569597907101755,3.580004108359925,0.010406201258170267
Hybrid MLR-SARIMA,0.9916370290766264,0.9917223403914806,8.531131485411958e-05,5400.525455041612,3757.689388412136,-1642.8360666294761,2633.4837839335964,2126.6127702253784,-506.871013708218,3.631884316916018,3.357202752633216,-0.274681564282802
