model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
Yesterday Baseline,0.9813007349635106,5647.800729847188,3265.025149682377,4.6771848547322765,24.63019016461749
Previous-Week Baseline,0.9741248375725342,6643.67897392436,4015.6993827650267,5.918601443051817,137.90690170901638
Municipality MLR,0.9901929171989423,4090.1291134135895,2363.7481802712,3.797203326318773,914.2143384810282
Municipality SARIMA,0.9893842538703052,4255.419296839902,2506.435042173754,3.580004108359925,869.788562842784
Hybrid MLR-SARIMA,0.9917223403914806,3757.6893884121355,2126.6127702253784,3.357202752633216,626.089967984151
