model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
Municipality MLR Aggregate,0.7624050525405787,27658.8449218405,21350.46228946742,2.502369605651226,14074.162835835057
Municipality SARIMA Aggregate,0.5166673369093451,39449.228248577456,30933.47342558423,3.636836082330117,12271.207702571022
Municipality Hybrid Aggregate,0.7917632060283181,25893.703645885045,19646.432243991225,2.302716913590257,10073.237711287451
