model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
Hybrid MLR-SARIMA,0.31297202439948485,2741.375620070166,2126.6127702253784,3.357202752633217,626.0899679841509
Municipality MLR,0.04656300369618243,3030.120878871905,2363.7481802712005,3.797203326318773,914.2143384810282
Municipality SARIMA,0.48138401507419487,3211.5538803642244,2506.4350421737545,3.5800041083599248,869.788562842784
Previous-Week Baseline,-0.3724787266141229,5084.819677357224,4015.699382765027,5.918601443051817,137.9069017090164
Yesterday Baseline,0.18910477863537833,4168.351031245228,3265.0251496823767,4.6771848547322765,24.630190164617485
