scope,r2,rmse_kw,mae_kw,mape_pct,mean_error_kw
Overall,0.9750272444729148,349.7858306406876,248.97899076949977,6.454639318519977,234.3194307509819
Bagumbayan,-0.0752511445766546,208.7725687515729,188.83871410250904,7.252512423720652,188.69980884153114
Columbio,-1.29890758396505,112.54123896628576,87.18231404230629,8.820400266212232,52.690455850409116
Esperanza,0.45082321674336,215.7228884404132,186.53719063766917,5.546830710275011,183.19055556994834
Isulan,0.07170912152469422,721.4579902725769,598.048756040829,7.113720682947046,571.6582712258007
Kalamansig,-0.9188661083661633,210.85810634373823,192.83893957662792,6.370218414642142,191.8135751234163
Lambayong,0.04477016278051493,343.9125046845751,306.85141931053096,7.4420091082238775,306.3997315060685
Lebak,-0.47722050164602337,398.897898690803,359.96243534514736,6.091892149470112,358.18265231533934
Lutayan,0.3503247725109532,177.7136428418876,157.47927586976527,6.1748943223536195,156.36424881312615
Palimbang,0.631692778234146,121.88286620077551,95.44804258418688,2.471916918302565,61.19786934307431
President Quirino,0.22643793059212847,176.8360213299865,160.01477740512428,7.214443237307168,159.09550331799252
Senator Ninoy Aquino,-1.9382596278544795,156.2342399381763,128.64702384709727,6.529351258692061,121.51933505588325
Tacurong City,0.35182664522143636,648.7972271703845,525.8990004722041,6.427482330093229,461.02116204919287
